sn,ticker
0,ABB.NS
1,ABCAPITAL.NS
2,ABFRL.NS
3,ACE.NS
4,ADANIENT.NS
5,ADANIGREEN.NS
6,ADANIPORTS.NS
7,ADANIPOWER.NS
8,AMBER.NS
9,AMBUJACEM.NS
10,APOLLO.NS
11,APOLLOHOSP.NS
12,ASHOKLEY.NS
13,ASIANPAINT.NS
14,ASTRAL.NS
15,AUBANK.NS
16,AUROPHARMA.NS
17,AVANTIFEED.NS
18,AXISBANK.NS
19,BAJAJ-AUTO.NS
20,BAJAJFINSV.NS
21,BAJFINANCE.NS
22,BANKBARODA.NS
23,BDL.NS
24,BEL.NS
25,BEML.NS
26,BHARATFORG.NS
27,BHARTIARTL.NS
28,BHEL.NS
29,BOSCHLTD.NS
30,BPCL.NS
31,BRITANNIA.NS
32,BSE.NS
33,CAMS.NS
34,CANBK.NS
35,CDSL.NS
36,CGPOWER.NS
37,CHOLAFIN.NS
38,CIPLA.NS
39,COALINDIA.NS
40,COCHINSHIP.NS
41,COFORGE.NS
42,COLPAL.NS
43,CUMMINSIND.NS
44,DABUR.NS
45,DIVISLAB.NS
46,DIXON.NS
47,DLF.NS
48,DMART.NS
49,DRREDDY.NS
50,EDELWEISS.NS
51,EICHERMOT.NS
52,EXIDEIND.NS
53,FEDERALBNK.NS
54,FORCEMOT.NS
55,FORTIS.NS
56,GAIL.NS
57,GLENMARK.NS
58,GMDCLTD.NS
59,GODFRYPHLP.NS
60,GODREJCP.NS
61,GODREJPROP.NS
62,GPIL.NS
63,GRANULES.NS
64,GRASIM.NS
65,GRSE.NS
66,HAL.NS
67,HAVELLS.NS
68,HCLTECH.NS
69,HDFCAMC.NS
70,HDFCBANK.NS
71,HDFCLIFE.NS
72,HEROMOTOCO.NS
73,HINDALCO.NS
74,HINDCOPPER.NS
75,HINDPETRO.NS
76,HINDUNILVR.NS
77,HINDZINC.NS
78,ICICIBANK.NS
79,ICICIGI.NS
80,IDEA.NS
81,IDFCFIRSTB.NS
82,INDHOTEL.NS
83,INDIGO.NS
84,INDUSINDBK.NS
85,INDUSTOWER.NS
86,INFY.NS
87,INOXWIND.NS
88,IOC.NS
89,ITC.NS
90,JAICORPLTD.NS
91,JAYNECOIND.NS
92,JBMA.NS
93,JINDALSTEL.NS
94,JMFINANCIL.NS
95,JSWSTEEL.NS
96,KIOCL.NS
97,KOTAKBANK.NS
98,LAURUSLABS.NS
99,LEMONTREE.NS
100,LT.NS
101,LUPIN.NS
102,M&M.NS
103,MANAPPURAM.NS
104,MARICO.NS
105,MARUTI.NS
106,MAXHEALTH.NS
107,MAZDOCK.NS
108,MCX.NS
109,MPHASIS.NS
110,MRF.NS
111,MUTHOOTFIN.NS
112,NATIONALUM.NS
113,NAUKRI.NS
114,NESTLEIND.NS
115,NEWGEN.NS
116,NMDC.NS
117,NTPC.NS
118,OFSS.NS
119,OLECTRA.NS
120,ONGC.NS
121,PERSISTENT.NS
122,PFC.NS
123,PGEL.NS
124,PHOENIXLTD.NS
125,PNBHOUSING.NS
126,POLYCAB.NS
127,POWERGRID.NS
128,POWERINDIA.NS
129,RBLBANK.NS
130,RECLTD.NS
131,RELIANCE.NS
132,RVNL.NS
133,SAIL.NS
134,SBILIFE.NS
135,SBIN.NS
136,SIEMENS.NS
137,SOLARINDS.NS
138,SRF.NS
139,SUNPHARMA.NS
140,SUZLON.NS
141,TATAMOTORS.NS
142,TATAPOWER.NS
143,TATASTEEL.NS
144,TCS.NS
145,TECHM.NS
146,THERMAX.NS
147,TIINDIA.NS
148,TITAN.NS
149,TRENT.NS
150,TVSMOTOR.NS
151,ULTRACEMCO.NS
152,UNIONBANK.NS
153,UPL.NS
154,VBL.NS
155,VEDL.NS
156,VIMTALABS.NS
157,VOLTAS.NS
158,WIPRO.NS
159,YESBANK.NS
